Batch ID: 337, Trigger Execution: 424 ms
Batch ID: 338, Trigger Execution: 1465 ms
Batch ID: 339, Trigger Execution: 1378 ms
Batch ID: 340, Trigger Execution: 1251 ms
Batch ID: 341, Trigger Execution: 1346 ms
Batch ID: 342, Trigger Execution: 1306 ms
Batch ID: 343, Trigger Execution: 1259 ms
Batch ID: 344, Trigger Execution: 1216 ms
Batch ID: 345, Trigger Execution: 1252 ms
Batch ID: 346, Trigger Execution: 1274 ms
Batch ID: 347, Trigger Execution: 1227 ms
Batch ID: 348, Trigger Execution: 1211 ms
Batch ID: 349, Trigger Execution: 1271 ms
Batch ID: 350, Trigger Execution: 1264 ms
Batch ID: 351, Trigger Execution: 1164 ms
Batch ID: 352, Trigger Execution: 1221 ms
Batch ID: 353, Trigger Execution: 1194 ms
Batch ID: 354, Trigger Execution: 1210 ms
Batch ID: 355, Trigger Execution: 1218 ms
Batch ID: 356, Trigger Execution: 1248 ms
Batch ID: 357, Trigger Execution: 1247 ms
Batch ID: 358, Trigger Execution: 1165 ms
Batch ID: 359, Trigger Execution: 1224 ms
Batch ID: 360, Trigger Execution: 1207 ms
Batch ID: 361, Trigger Execution: 1152 ms
Batch ID: 362, Trigger Execution: 1165 ms
Batch ID: 363, Trigger Execution: 1216 ms
Batch ID: 364, Trigger Execution: 1186 ms
Batch ID: 365, Trigger Execution: 1169 ms
Batch ID: 366, Trigger Execution: 1208 ms
Batch ID: 367, Trigger Execution: 1221 ms
Batch ID: 368, Trigger Execution: 1148 ms
Batch ID: 369, Trigger Execution: 1215 ms
Batch ID: 370, Trigger Execution: 1228 ms
Batch ID: 371, Trigger Execution: 1235 ms
Batch ID: 372, Trigger Execution: 1191 ms
Batch ID: 373, Trigger Execution: 1177 ms
Batch ID: 374, Trigger Execution: 1209 ms
Batch ID: 375, Trigger Execution: 1155 ms
Batch ID: 376, Trigger Execution: 1211 ms
Batch ID: 377, Trigger Execution: 1199 ms
Batch ID: 378, Trigger Execution: 1171 ms
Batch ID: 379, Trigger Execution: 1228 ms
Batch ID: 380, Trigger Execution: 1201 ms
Batch ID: 381, Trigger Execution: 1151 ms
Batch ID: 382, Trigger Execution: 1156 ms
Batch ID: 383, Trigger Execution: 1216 ms
Batch ID: 384, Trigger Execution: 1250 ms
Batch ID: 385, Trigger Execution: 1136 ms
Batch ID: 386, Trigger Execution: 1191 ms
Batch ID: 387, Trigger Execution: 1163 ms
Batch ID: 388, Trigger Execution: 1225 ms
Batch ID: 389, Trigger Execution: 1176 ms
Batch ID: 390, Trigger Execution: 1189 ms
Batch ID: 391, Trigger Execution: 1169 ms
Batch ID: 392, Trigger Execution: 1134 ms
Batch ID: 393, Trigger Execution: 1205 ms
Batch ID: 394, Trigger Execution: 1243 ms
Batch ID: 395, Trigger Execution: 1129 ms
Batch ID: 396, Trigger Execution: 1175 ms
Batch ID: 397, Trigger Execution: 1189 ms
Batch ID: 398, Trigger Execution: 1164 ms
Batch ID: 399, Trigger Execution: 1160 ms
Batch ID: 400, Trigger Execution: 1 ms
